Jogador,Clube Origem,Clube Destino
Jean Carlos,EC Juventude,Criciúma
Jean Irmer,Ceará SC,Novorizontino
Jean Meneses,Toluca,CR Vasco da Gama
Jean Mota,EC Vitória,Vila Nova
Jefferson,Botafogo FR,Portimonense
Jeffinho,Botafogo FR,Lyon
Jeffinho,Lyon,Botafogo FR
Jefté,APOEL Nicósia,Fluminense FC
Jefté,Fluminense FC,Rangers
Jemerson,Atlético Mineiro,Grêmio FBPA
Jemerson,Atlético Mineiro,Grêmio FBPA
Jemmes,Mirassol FC,Vila Nova
Jemmes,Vila Nova,Mirassol FC
Jemmes,Vila Nova,Mirassol FC
Jhegson Méndez,Elche,São Paulo FC
Jhegson Méndez,São Paulo FC,Independiente
Jhoanner Chávez,EC Bahia,Lens
